timestamp,tempExt,tempInt,battVolt
2025-03-03 20:49:12,4.19922065,21.63348388,3.21603178
2025-03-03 20:49:18,4.12396478,21.62829589,3.21640396
2025-03-03 20:49:23,4.28540325,21.62548828,3.21576976
2025-03-03 20:49:29,4.26803731,21.6373291,3.21355128
2025-03-03 20:49:35,4.19080638,21.65875244,3.21620678
2025-03-03 20:49:40,4.18690872,21.61746215,3.21619391
2025-03-03 20:49:46,4.13783597,21.63107299,3.21615529
2025-03-03 20:49:52,4.1476078,21.61703491,3.21410942
2025-03-03 20:49:58,4.12919378,21.65014648,3.21649074
2025-03-03 20:50:03,4.17835998,21.66500854,3.21593976
2025-03-03 20:50:09,4.1617608,21.70013427,3.21591019
2025-03-03 20:50:15,4.17442226,21.74685668,3.216192
2025-03-03 20:50:20,4.20471715,21.75039672,3.21601891
2025-03-03 20:50:26,4.170928,21.73983764,3.21584749
2025-03-03 20:50:32,4.19736528,21.70971679,3.21576619
2025-03-03 20:50:38,4.19861555,21.69589233,3.21610903
2025-03-03 20:50:43,4.20623683,21.68743896,3.21584939
2025-03-03 20:50:49,4.20709705,21.69363403,3.21575188
2025-03-03 20:50:55,4.21084737,21.69485473,3.2159214
2025-03-03 20:51:00,4.20705652,21.71414184,3.21584177
2025-03-03 20:51:06,4.23569917,21.74597167,3.21486711
2025-03-03 20:51:12,4.18967771,21.76013183,3.21480989
2025-03-03 20:51:18,4.18668031,21.75607299,3.21565008
2025-03-03 20:51:23,4.18806457,21.74993896,3.21596717
2025-03-03 20:51:29,4.20981216,21.78103637,3.21580862
2025-03-03 20:51:35,4.20072603,21.76306152,3.21573495
2025-03-03 20:51:40,4.16310501,21.7255249,3.21565985
2025-03-03 20:51:46,4.18399143,21.67105102,3.2161405
2025-03-03 20:51:52,4.17611503,21.65576171,3.21592473
2025-03-03 20:51:58,4.18111515,21.67855834,3.21589159
2025-03-03 20:52:03,4.18025541,21.66897583,3.21569085
2025-03-03 20:52:09,4.19572591,21.69927978,3.2160151
2025-03-03 20:52:15,4.20506763,21.77392578,3.2156043
2025-03-03 20:52:20,4.21189498,21.8197937,3.21579408
2025-03-03 20:52:26,4.22135782,21.85458374,3.21554517
2025-03-03 20:52:32,4.22578001,21.85247802,3.2158401
2025-03-03 20:52:38,4.18881797,22.01193237,3.21578454
2025-03-03 20:52:43,4.18533611,21.97616577,3.21560621
2025-03-03 20:52:49,4.17006731,21.8711853,3.2160151
2025-03-03 20:52:55,4.1515727,21.80966186,3.21532416
2025-03-03 20:53:00,4.15997314,21.76516723,3.2154622
2025-03-03 20:53:06,4.17329311,21.76904296,3.21568369
2025-03-03 20:53:12,4.15532255,21.78381347,3.21587324
2025-03-03 20:53:18,4.13717746,21.78564453,3.21558189
2025-03-03 20:53:23,4.14267492,21.7864685,3.21571683
2025-03-03 20:53:29,4.1223793,21.79190063,3.21573328
2025-03-03 20:53:35,4.1274867,21.78701782,3.21581459
2025-03-03 20:53:41,4.17270135,21.74850463,3.21585845
2025-03-03 20:53:46,4.16221761,21.70062255,3.21547341
2025-03-03 20:53:52,4.17505407,21.68731689,3.21596002
2025-03-03 20:53:58,4.14249992,21.70932006,3.21568894
2025-03-03 20:54:03,4.13415336,21.7373352,3.21554541
2025-03-03 20:54:09,4.12642431,21.74813842,3.21545672
2025-03-03 20:54:15,4.14288997,21.74642944,3.21547889
2025-03-03 20:54:21,4.13681459,21.74945068,3.21595072
2025-03-03 20:54:26,4.09591436,21.76934814,3.215842
2025-03-03 20:54:32,4.12092733,21.78512573,3.21581268
2025-03-03 20:54:38,4.08639812,21.78463745,3.21588802
2025-03-03 20:54:43,4.10493278,21.79177856,3.21582341
2025-03-03 20:54:49,4.08826637,21.775177,3.21581459
2025-03-03 20:54:55,4.06016111,21.75057983,3.21545648
2025-03-03 20:55:01,4.07169389,21.72619628,3.21586966
2025-03-03 20:55:06,4.04869604,21.71328735,3.2158606
2025-03-03 20:55:12,4.02435493,21.70642089,3.21540164
2025-03-03 20:55:18,4.05470418,21.70611572,3.21583294
